account_id,name,NULL
2,Autobiographer,NULL
2,Organizer,NULL
2,Supporter,NULL
2,Editor,NULL
2,Quorum,NULL
3,Editor,NULL
3,Supporter,NULL
3,Critic,NULL
3,Quorum,NULL
3,Convention,NULL
3,Autobiographer,NULL
3,"Citizen Patrol",NULL
4,Supporter,NULL
4,Teacher,NULL
4,Student,NULL
4,Mortarboard,NULL
4,Editor,NULL
4,Critic,NULL
4,Commentator,NULL
4,"Nice Answer",NULL
4,Organizer,NULL
4,Beta,NULL
4,"Nice Question",NULL
4,"Nice Answer",NULL
4,"Nice Answer",NULL
4,"Good Answer",NULL
4,"Citizen Patrol",NULL
4,"Nice Answer",NULL
4,Enlightened,NULL
4,"Nice Answer",NULL
4,Guru,NULL
4,"Nice Answer",NULL
4,"Nice Answer",NULL
4,"Good Question",NULL
4,Revival,NULL
4,Convention,NULL
4,Quorum,NULL
4,Enthusiast,NULL
4,"Nice Answer",NULL
4,"Great Answer",NULL
4,"Popular Question",NULL
4,"Nice Answer",NULL
4,"Nice Answer",NULL
4,"Nice Answer",NULL
4,"Nice Question",NULL
4,Announcer,NULL
4,"Nice Answer",NULL
4,"Nice Answer",NULL
4,"Good Answer",NULL
4,"Nice Answer",NULL
4,Pundit,NULL
4,"Nice Answer",NULL
4,Talkative,NULL
4,Enlightened,NULL
4,"Nice Answer",NULL
4,"Nice Answer",NULL
4,"Good Answer",NULL
4,"Great Answer",NULL
4,"Nice Answer",NULL
4,Enlightened,NULL
4,Enlightened,NULL
4,"Nice Answer",NULL
4,"Nice Answer",NULL
4,"Nice Answer",NULL
4,Revival,NULL
4,"Good Answer",NULL
4,"Nice Answer",NULL
4,Enlightened,NULL
4,"Nice Answer",NULL
4,Populist,NULL
4,Excavator,NULL
4,"Nice Answer",NULL
4,Enlightened,NULL
4,"Good Answer",NULL
4,Cleanup,NULL
4,"Nice Answer",NULL
4,"Nice Answer",NULL
4,Yearling,NULL
4,"Nice Answer",NULL
4,Enlightened,NULL
4,"Strunk & White",NULL
4,"Tag Editor",NULL
4,"Nice Answer",NULL
4,"Nice Answer",NULL
4,"Good Answer",NULL
4,"Nice Answer",NULL
4,Enlightened,NULL
4,Guru,NULL
4,"Nice Question",NULL
4,"Nice Answer",NULL
4,Enlightened,NULL
4,Guru,NULL
4,"Nice Answer",NULL
4,"Nice Answer",NULL
4,Enlightened,NULL
4,"Nice Answer",NULL
4,Disciplined,NULL
4,"Nice Answer",NULL
4,"Great Answer",NULL
4,"Nice Answer",NULL
4,"Nice Question",NULL
4,"Nice Answer",NULL
4,Fanatic,NULL
4,"Nice Answer",NULL
4,"Nice Answer",NULL
4,"Nice Answer",NULL
4,"Nice Answer",NULL
4,"Nice Answer",NULL
4,"Nice Answer",NULL
4,"Good Answer",NULL
4,Necromancer,NULL
4,"Nice Answer",NULL
4,Enlightened,NULL
4,Enlightened,NULL
4,"Nice Answer",NULL
4,"Nice Answer",NULL
4,Enlightened,NULL
4,"Good Answer",NULL
4,"Nice Answer",NULL
4,Analytical,NULL
4,Proofreader,NULL
4,"Nice Answer",NULL
